description,unit,quantity,rate,is_placeholder,replace_with
"Earthwork in excavation in foundation trenches up to 1.5m depth, including disposal",m3,1250,393,true,# TODO: replace with actual measured BoQ lines exported from a real Indian tender (this file is a synthetic demonstration set)
"Bored cast in-situ pile 600mm diameter, including casing and concreting",m,280,4670,true,# TODO: replace with actual measured BoQ lines exported from a real Indian tender (this file is a synthetic demonstration set)
Reinforced cement concrete M25 in pile caps and raft foundation,m3,540,6510,true,# TODO: replace with actual measured BoQ lines exported from a real Indian tender (this file is a synthetic demonstration set)
"TMT reinforcement bars Fe500D, cutting, bending and fixing",tonne,72,109000,true,# TODO: replace with actual measured BoQ lines exported from a real Indian tender (this file is a synthetic demonstration set)
Shuttering and formwork to soffits of suspended slabs,m2,3850,462,true,# TODO: replace with actual measured BoQ lines exported from a real Indian tender (this file is a synthetic demonstration set)
Cement plaster 12mm thick to internal walls in cement mortar 1:6,m2,5200,408,true,# TODO: replace with actual measured BoQ lines exported from a real Indian tender (this file is a synthetic demonstration set)
Cement mortar screed to floor 50mm thick,m2,2400,562,true,# TODO: replace with actual measured BoQ lines exported from a real Indian tender (this file is a synthetic demonstration set)
"Brickwork in cement mortar 1:6 in superstructure, 230mm thick",m2,1650,1140,true,# TODO: replace with actual measured BoQ lines exported from a real Indian tender (this file is a synthetic demonstration set)
Membrane waterproofing to basement retaining wall with APP modified bitumen,m2,1950,820,true,# TODO: replace with actual measured BoQ lines exported from a real Indian tender (this file is a synthetic demonstration set)
PVC conduit and casing-capping containment to electrical services,m,2800,912,true,# TODO: replace with actual measured BoQ lines exported from a real Indian tender (this file is a synthetic demonstration set)
"Preliminaries, site establishment, work charged establishment and insurance",item,1,1280000,true,# TODO: replace with actual measured BoQ lines exported from a real Indian tender (this file is a synthetic demonstration set)
"Reinforcement to bored piles, cutting, bending and fixing",tonne,64,108000,true,# TODO: replace with actual measured BoQ lines exported from a real Indian tender (this file is a synthetic demonstration set)
Shuttering to sides of pile caps,m2,520,617,true,# TODO: replace with actual measured BoQ lines exported from a real Indian tender (this file is a synthetic demonstration set)
Waterproof membrane to pile cap tops,m2,480,260.00,true,# TODO: replace with actual measured BoQ lines exported from a real Indian tender (this file is a synthetic demonstration set)
Provisional sum for landscape and horticulture works,item,1,350000.00,true,# TODO: replace with actual measured BoQ lines exported from a real Indian tender (this file is a synthetic demonstration set)
Supply and fixing of MS grill and handrail to staircase,m,180,1450.00,true,# TODO: replace with actual measured BoQ lines exported from a real Indian tender (this file is a synthetic demonstration set)
Reinforced cement concrete M30 in columns and shear walls,m3,980,10500,true,# TODO: replace with actual measured BoQ lines exported from a real Indian tender (this file is a synthetic demonstration set)
"Earthwork in excavation for pile caps and raft, including backfilling",m3,640,264,true,# TODO: replace with actual measured BoQ lines exported from a real Indian tender (this file is a synthetic demonstration set)
Cement plaster external rendering 20mm thick in cement mortar 1:4,m2,1450,524,true,# TODO: replace with actual measured BoQ lines exported from a real Indian tender (this file is a synthetic demonstration set)
Bituminous membrane waterproofing to terrace roof,m2,1200,846,true,# TODO: replace with actual measured BoQ lines exported from a real Indian tender (this file is a synthetic demonstration set)
