country,series_name,quarter,base_year,base_value,currency,value,scope_inclusions,scope_exclusions,source_url,is_placeholder,provenance_note,replace_with
SG,BCA,2023Q1,2010,100.0,SGD,130.1,"Building works: superstructure, architectural finishes and services installation",Piling;Substructure;External Works;M&E Services,https://www1.bca.gov.sg/,true,"INDICATIVE. The BCA Tender Price Index and the SISV circular series are published as quarterly releases; no machine-readable feed could be verified from this environment, so this value is synthetic. The Singapore MATERIAL price series in this database are REAL.",# TODO: replace with the actual BCA Tender Price Index value from the BCA TPI quarterly release
SG,BCA,2023Q2,2010,100.0,SGD,131.6,"Building works: superstructure, architectural finishes and services installation",Piling;Substructure;External Works;M&E Services,https://www1.bca.gov.sg/,true,"INDICATIVE. The BCA Tender Price Index and the SISV circular series are published as quarterly releases; no machine-readable feed could be verified from this environment, so this value is synthetic. The Singapore MATERIAL price series in this database are REAL.",# TODO: replace with the actual BCA Tender Price Index value from the BCA TPI quarterly release
SG,BCA,2023Q3,2010,100.0,SGD,133.0,"Building works: superstructure, architectural finishes and services installation",Piling;Substructure;External Works;M&E Services,https://www1.bca.gov.sg/,true,"INDICATIVE. The BCA Tender Price Index and the SISV circular series are published as quarterly releases; no machine-readable feed could be verified from this environment, so this value is synthetic. The Singapore MATERIAL price series in this database are REAL.",# TODO: replace with the actual BCA Tender Price Index value from the BCA TPI quarterly release
SG,BCA,2023Q4,2010,100.0,SGD,134.2,"Building works: superstructure, architectural finishes and services installation",Piling;Substructure;External Works;M&E Services,https://www1.bca.gov.sg/,true,"INDICATIVE. The BCA Tender Price Index and the SISV circular series are published as quarterly releases; no machine-readable feed could be verified from this environment, so this value is synthetic. The Singapore MATERIAL price series in this database are REAL.",# TODO: replace with the actual BCA Tender Price Index value from the BCA TPI quarterly release
SG,BCA,2024Q1,2010,100.0,SGD,135.5,"Building works: superstructure, architectural finishes and services installation",Piling;Substructure;External Works;M&E Services,https://www1.bca.gov.sg/,true,"INDICATIVE. The BCA Tender Price Index and the SISV circular series are published as quarterly releases; no machine-readable feed could be verified from this environment, so this value is synthetic. The Singapore MATERIAL price series in this database are REAL.",# TODO: replace with the actual BCA Tender Price Index value from the BCA TPI quarterly release
SG,BCA,2024Q2,2010,100.0,SGD,136.8,"Building works: superstructure, architectural finishes and services installation",Piling;Substructure;External Works;M&E Services,https://www1.bca.gov.sg/,true,"INDICATIVE. The BCA Tender Price Index and the SISV circular series are published as quarterly releases; no machine-readable feed could be verified from this environment, so this value is synthetic. The Singapore MATERIAL price series in this database are REAL.",# TODO: replace with the actual BCA Tender Price Index value from the BCA TPI quarterly release
SG,BCA,2024Q3,2010,100.0,SGD,137.9,"Building works: superstructure, architectural finishes and services installation",Piling;Substructure;External Works;M&E Services,https://www1.bca.gov.sg/,true,"INDICATIVE. The BCA Tender Price Index and the SISV circular series are published as quarterly releases; no machine-readable feed could be verified from this environment, so this value is synthetic. The Singapore MATERIAL price series in this database are REAL.",# TODO: replace with the actual BCA Tender Price Index value from the BCA TPI quarterly release
SG,BCA,2024Q4,2010,100.0,SGD,139.2,"Building works: superstructure, architectural finishes and services installation",Piling;Substructure;External Works;M&E Services,https://www1.bca.gov.sg/,true,"INDICATIVE. The BCA Tender Price Index and the SISV circular series are published as quarterly releases; no machine-readable feed could be verified from this environment, so this value is synthetic. The Singapore MATERIAL price series in this database are REAL.",# TODO: replace with the actual BCA Tender Price Index value from the BCA TPI quarterly release
SG,HDB,2023Q1,2010,100.0,SGD,128.4,"HDB public housing building works, superstructure and finishes",Piling;External Works;M&E Services,https://www.hdb.gov.sg/,true,"INDICATIVE. The BCA Tender Price Index and the SISV circular series are published as quarterly releases; no machine-readable feed could be verified from this environment, so this value is synthetic. The Singapore MATERIAL price series in this database are REAL.",# TODO: replace with the actual HDB tender price index value published via the SISV TPI circular
SG,HDB,2023Q2,2010,100.0,SGD,129.2,"HDB public housing building works, superstructure and finishes",Piling;External Works;M&E Services,https://www.hdb.gov.sg/,true,"INDICATIVE. The BCA Tender Price Index and the SISV circular series are published as quarterly releases; no machine-readable feed could be verified from this environment, so this value is synthetic. The Singapore MATERIAL price series in this database are REAL.",# TODO: replace with the actual HDB tender price index value published via the SISV TPI circular
SG,HDB,2023Q3,2010,100.0,SGD,130.5,"HDB public housing building works, superstructure and finishes",Piling;External Works;M&E Services,https://www.hdb.gov.sg/,true,"INDICATIVE. The BCA Tender Price Index and the SISV circular series are published as quarterly releases; no machine-readable feed could be verified from this environment, so this value is synthetic. The Singapore MATERIAL price series in this database are REAL.",# TODO: replace with the actual HDB tender price index value published via the SISV TPI circular
SG,HDB,2023Q4,2010,100.0,SGD,131.9,"HDB public housing building works, superstructure and finishes",Piling;External Works;M&E Services,https://www.hdb.gov.sg/,true,"INDICATIVE. The BCA Tender Price Index and the SISV circular series are published as quarterly releases; no machine-readable feed could be verified from this environment, so this value is synthetic. The Singapore MATERIAL price series in this database are REAL.",# TODO: replace with the actual HDB tender price index value published via the SISV TPI circular
SG,HDB,2024Q1,2010,100.0,SGD,133.0,"HDB public housing building works, superstructure and finishes",Piling;External Works;M&E Services,https://www.hdb.gov.sg/,true,"INDICATIVE. The BCA Tender Price Index and the SISV circular series are published as quarterly releases; no machine-readable feed could be verified from this environment, so this value is synthetic. The Singapore MATERIAL price series in this database are REAL.",# TODO: replace with the actual HDB tender price index value published via the SISV TPI circular
SG,HDB,2024Q2,2010,100.0,SGD,134.1,"HDB public housing building works, superstructure and finishes",Piling;External Works;M&E Services,https://www.hdb.gov.sg/,true,"INDICATIVE. The BCA Tender Price Index and the SISV circular series are published as quarterly releases; no machine-readable feed could be verified from this environment, so this value is synthetic. The Singapore MATERIAL price series in this database are REAL.",# TODO: replace with the actual HDB tender price index value published via the SISV TPI circular
