description,unit,quantity,rate,is_placeholder,replace_with
"Excavation to reduce level, depth not exceeding 2m, including disposal off site",m3,1850,33.41,true,# TODO: replace with actual measured BoQ lines exported from a real Singapore tender (this file is a synthetic demonstration set)
"Bored piling 600mm diameter, including casing and temporary casing",m,320,294,true,# TODO: replace with actual measured BoQ lines exported from a real Singapore tender (this file is a synthetic demonstration set)
Grade 35/20 ready-mixed concrete to pile caps and ground beams,m3,640,171,true,# TODO: replace with actual measured BoQ lines exported from a real Singapore tender (this file is a synthetic demonstration set)
"High yield deformed steel reinforcement bars, cut, bent and fixed",tonne,96,1370,true,# TODO: replace with actual measured BoQ lines exported from a real Singapore tender (this file is a synthetic demonstration set)
Sawn timber formwork to soffits of suspended slabs,m2,4200,56.83,true,# TODO: replace with actual measured BoQ lines exported from a real Singapore tender (this file is a synthetic demonstration set)
"Cement and sand plaster to internal walls, 20mm thick",m2,5600,31.27,true,# TODO: replace with actual measured BoQ lines exported from a real Singapore tender (this file is a synthetic demonstration set)
"Cement sand screed to floor, 50mm thick",m2,3100,37.58,true,# TODO: replace with actual measured BoQ lines exported from a real Singapore tender (this file is a synthetic demonstration set)
Clay brickwork to external walls 225mm thick,m2,980,80.42,true,# TODO: replace with actual measured BoQ lines exported from a real Singapore tender (this file is a synthetic demonstration set)
Cement sand blockwork to internal partitions 100mm thick,m2,1450,60.65,true,# TODO: replace with actual measured BoQ lines exported from a real Singapore tender (this file is a synthetic demonstration set)
Tanking membrane waterproofing to basement retaining walls,m2,2400,38.79,true,# TODO: replace with actual measured BoQ lines exported from a real Singapore tender (this file is a synthetic demonstration set)
PVC conduit and trunking containment to electrical services,m,3600,49.22,true,# TODO: replace with actual measured BoQ lines exported from a real Singapore tender (this file is a synthetic demonstration set)
"Preliminaries including site setup, temporary works and insurance",item,1,300000,true,# TODO: replace with actual measured BoQ lines exported from a real Singapore tender (this file is a synthetic demonstration set)
"Reinforcement to bored piles, cut and bent, fixed",tonne,78,1500,true,# TODO: replace with actual measured BoQ lines exported from a real Singapore tender (this file is a synthetic demonstration set)
Formwork to sides of pile caps,m2,640,52.82,true,# TODO: replace with actual measured BoQ lines exported from a real Singapore tender (this file is a synthetic demonstration set)
Waterproof membrane to pile cap tops,m2,520,33,true,# TODO: replace with actual measured BoQ lines exported from a real Singapore tender (this file is a synthetic demonstration set)
Provisional sum for landscape artwork and water features,item,1,45000,true,# TODO: replace with actual measured BoQ lines exported from a real Singapore tender (this file is a synthetic demonstration set)
"Metal railing and handrail to staircases, galvanised",m,220,165,true,# TODO: replace with actual measured BoQ lines exported from a real Singapore tender (this file is a synthetic demonstration set)
Grade 40/20 ready-mixed concrete to columns and walls,m3,1180,167,true,# TODO: replace with actual measured BoQ lines exported from a real Singapore tender (this file is a synthetic demonstration set)
Excavation for pile caps and ground beams including backfill,m3,720,29.75,true,# TODO: replace with actual measured BoQ lines exported from a real Singapore tender (this file is a synthetic demonstration set)
Polymeric membrane waterproofing to roof slab,m2,1650,41.58,true,# TODO: replace with actual measured BoQ lines exported from a real Singapore tender (this file is a synthetic demonstration set)
